"Year","Age","Name","Movie"
123,1989,26,"Jodie Foster","The Accused"
124,1989,51,"Dustin Hoffman","Rain Man"
125,1990,80,"Jessica Tandy","Driving Miss Daisy"
126,1990,32,"Daniel Day-Lewis","My Left Foot"
127,1991,42,"Kathy Bates","Misery"
128,1991,42,"Jeremy Irons","Reversal of Fortune"
129,1992,29,"Jodie Foster","The Silence of the Lambs"
130,1992,54,"Anthony Hopkins","The Silence of the Lambs"
131,1993,33,"Emma Thompson","Howards End"
132,1993,52,"Al Pacino","Scent of a Woman"
133,1994,36,"Holly Hunter","The Piano"
134,1994,37,"Tom Hanks","Philadelphia"
135,1995,45,"Jessica Lange","Blue Sky"
136,1995,38,"Tom Hanks","Forrest Gump"
137,1996,49,"Susan Sarandon","Dead Man Walking"
138,1996,32,"Nicolas Cage","Leaving Las Vegas"
139,1997,39,"Frances McDormand","Fargo"
140,1997,45,"Geoffrey Rush","Shine"
141,1998,34,"Helen Hunt","As Good as It Gets"
142,1998,60,"Jack Nicholson","As Good as It Gets"
143,1999,26,"Gwyneth Paltrow","Shakespeare in Love"
144,1999,46,"Roberto Benigni","Life Is Beautiful"
145,2000,25,"Hilary Swank","Boys Don't Cry"
146,2000,40,"Kevin Spacey","American Beauty"
147,2001,33,"Julia Roberts","Erin Brockovich"
148,2001,36,"Russell Crowe","Gladiator"
149,2002,35,"Halle Berry","Monster's Ball"
150,2002,47,"Denzel Washington","Training Day"
151,2003,35,"Nicole Kidman","The Hours"
152,2003,29,"Adrien Brody","The Pianist"
153,2004,28,"Charlize Theron","Monster"
154,2004,43,"Sean Penn","Mystic River"
155,2005,30,"Hilary Swank","Million Dollar Baby"
156,2005,37,"Jamie Foxx","Ray"
157,2006,29,"Reese Witherspoon","Walk the Line"
158,2006,38,"Philip Seymour Hoffman","Capote"
159,2007,61,"Helen Mirren","The Queen"
160,2007,45,"Forest Whitaker","The Last King of Scotland"
161,2008,32,"Marion Cotillard","La Vie en rose"
162,2008,50,"Daniel Day-Lewis","There Will Be Blood"
163,2009,33,"Kate Winslet","The Reader"
164,2009,48,"Sean Penn","Milk"
165,2010,45,"Sandra Bullock","The Blind Side"
166,2010,60,"Jeff Bridges","Crazy Heart"
167,2011,29,"Natalie Portman","Black Swan"
168,2011,50,"Colin Firth","The King's Speech"
169,2012,62,"Meryl Streep","The Iron Lady"
170,2012,39,"Jean Dujardin","The Artist"
171,2013,22,"Jennifer Lawrence","Silver Linings Playbook"
172,2013,55,"Daniel Day-Lewis","Lincoln"
173,2014,44,"Cate Blanchett","Blue Jasmine"
174,2014,44,"Matthew McConaughey","Dallas Buyers Club"
175,2015,54,"Julianne Moore","Still Alice"
176,2015,33,"Eddie Redmayne","The Theory of Everything"
177,2016,26,"Brie Larson","Room"
178,2016,41,"Leonardo DiCaprio","The Revenant"
